Word,Definition
Node ,"The position on the stem to which structures, often leaves, are or were attached."
Nut ,"A dry, indehiscent fruit with a single seed encased in a hard shell."
Odd pinnate leaf ,A pinnate leaf with a single leaflet at the tip.
Opposite ,"Leaves that arise from the stem in pairs, two per node."
Ovary ,"The ovule-bearing portion of the pistil, which develops into a fruit."
Ovule ,An immature seed.
Palm ,"A plant in the palm family (Arecaceae), having an unbranched trunk crowned by large pinnate or palmate leaves."
Palmate leaf ,"A leaf whose veins, lobes, or leaflets radiate from a single point, like fingers from the palm of a hand."
Pedicel ,The stalk of an individual flower or fruit.
Peduncle ,Stalk of an inflorescence.
Pendant ,Hanging downward loosely.
Perennial ,A plant that lives longer than two years or growing seasons.
Perfect ,Refers to a flower containing both male and female organs.
Petal ,A usually colorful individual member of the corolla.
Petiole ,"The stalk of the leaf, connecting the leaf blade to the stem."
Phyllode ,"A leaf, such as those found in acacias, consisting of a flattened, bladelike petiole."
Pinnate leaf ,"A leaf whose veins, lobes, or leaflets radiate on opposite sides of a central axis in a featherlike fashion."
Pistil ,"The female reproductive structure of a flower, composed of the stigma, style, and ovary."
Pollard ,A pruning method in which the new growth of a tree is cut off each year.
Pollen ,"A grainlike structure containing male sexual cells, produced in the anther."
Pollination ,"The transfer of pollen from male reproductive structures to female reproductive structures, leading to fertilization."
Pome ,"Fleshy fruit in the rose family (Rosaceae), such as an apple or pear, in which the bulk of the flesh comes from enlarged receptacle or floral parts."
Prickles ,Sharp-pointed projections derived from the outermost layers of cells of a stem or leaf.
Propagate ,"To generate new individual plants by seeds, grafting, or other methods."
Pubescent ,"Covered with small, fine hairs."
Pulvinus ,The swollen base of a petiole.
Rachis ,The main axis of a pinnate leaf.
Radially symmetrical ,"Refers to an organ, usually a flower, that is divisible into mirror image sections in three or more ways."
Rare ,A plant that occurs only in a small number of areas or as a few individuals.
Receptacle ,"The enlarged base of a flower or cone stalk, to which reproductive parts are attached."
Root ,"The underground structure of a plant that functions in anchorage, absorption and transport of water and nutrients, and food storage."
Samara ,"A winged, one-seed fruit such as those produced by ash trees."
Scale-like leaf ,"A thin, small leaf, often pressed tightly to the stem."
Secondary leaf vein ,A vein branching from the main central vein (midvein).
Seed ,The propagule of the seed plants: an embryo surrounded by nutritive tissue and a seed coat.
Sepal ,"An individual member of the calyx, generally green."
Serrate leaf ,A leaf with sawtoothed margins.
Sessile ,"Refers to a leaf, flower, or fruit that lacks a stalk and is attached directly to the stem."
Shoot ,The year’s new growth at the end of a branch.
Shrub ,"A relatively short, woody plant with multiple trunks."
Simple leaf ,"A leaf composed of a single, undivided blade."
Species ,A group of populations with interbreeding individuals that are related genetically and are reproductively isolated from other such groups.
Spike ,"An unbranched inflorescence, often upright, with sessile flowers, which usually open from bottom to top of the spike."
Spine ,A sharp-pointed projection derived from a leaf.
Stalked ,Having a peduncle or stalk.
Stamen ,"The male reproductive structure of a flower, composed of a stalklike filament and a terminal, pollen-producing anther."
Stem ,The aboveground (occasionally belowground) axis of a plant.
Sterile ,Not bearing sex organs or not involved in reproduction.
Stigma ,"On a pistil, the terminal, often sticky portion on which pollen is deposited."
Stipules ,A pair of leaflike structures (occasionally spine- or gland-like) at either side of the base of the petiole.
Street tree ,"A tree planted along streets and sidewalks of a municipality, usually in parkways between sidewalks and curbs."
Style ,The stalklike section of the pistil that connects the ovary to the stigma.
Subspecies ,A geographically and often physically distinct population within a species (abbreviated “ssp.”).
Subtend ,To appear beneath.
Sucker ,A shoot that grows from a tree’s roots or underground stem.
Syconium ,A fruitlike inflorescence in which minute flowers are borne on the inside walls of a hollow stem. Found in Ficus.
Temperates ,Regions of Earth between the tropics and the polar circles.
Terminal ,At the end or tip of a structure.
Thorn ,A sharp-pointed projection derived from a stem or shoot.
Tomentose ,"Covered with dense, interwoven hairs, often appearing to be white."
Tooth ,"On a leaf, a small, pointed projection."
Tree ,"A tall, woody plant, usually with one large trunk."
Tropics ,Regions of Earth spanning the equator (below 23.4º north or south).
Truncate ,"Terminating abruptly, as if cut straight across or nearly so."
Unisexual flowers ,"Flowers with stamens or carpels, but not both."
Urban forest ,The sum of all the trees and associated living organisms in an urban or suburban area.
Variety ,A group within a species that differs in consistent but minor ways from the rest of the species.
Veins ,The strands of transport tissue often seen as lines in leaves.
Venation ,"The arrangement of veins in a leaf, often described as parallel, pinnate, or palmate."
Weed ,"An uncultivated, unwanted, nuisance plant growing in a human-made setting (e.g., agricultural field, park, or garden)."
Weeping ,Drooping or bending downward.
Whorl ,"A group of three or more leaves, floral parts, or flowers that are arranged in a ring around a central point."
Wood ,"The inner tissue of a tree, running from the roots to the branchlets, consisting of hard, dead cells that conduct water."
Woody ,"A portion of a plant, usually a perennial shrub or tree, that is hard and thickened, generally covered in bark."
